ID,UBR SKU,Status,UBR Vendor Name,Owner,Style,Item Description (Chinese-Simplified Translation),UBR MMB #
959,100655397,Ready to Order,"Dong Guan Shi Cheng Lin Toys Co.,Ltd.",Julie,HP HEDWIG PUPPET,哈利波特海德薇猫头鹰毛绒玩具,WB-UBR-024469
960,100653279,PO Created,"Dong Guan Shi Cheng Lin Toys Co.,Ltd.",Julie,HP PIGWIDGEON OWL PLUSH (SM),哈利波特小猪朱薇琼猫头鹰毛绒玩具,WB-UBR-024261
961,100653287,Ready to Order,"Dong Guan Shi Cheng Lin Toys Co.,Ltd.",Julie,HP FAWKES PLUSH (LG),哈利波特凤凰福克斯毛绒玩具,WB-UBR-024262
962,100653295,PO Created,"Dong Guan Shi Cheng Lin Toys Co.,Ltd.",Julie,HP SCABBERS RAT PLUSH (SM,哈利波特斑斑老鼠毛绒玩具,WB-UBR-024263
963,100653308,Ready to Order,"Dong Guan Shi Cheng Lin Toys Co.,Ltd.",Julie,HP BUCKBEAK PLUSH (LG),哈利波特巴克比克毛绒玩具,WB-UBR-024264
964,100653316,PO Created,"Dong Guan Shi Cheng Lin Toys Co.,Ltd.",Jeff,HP HEDWIG PLUSH BACKPACK,哈利波特海德薇毛绒玩具双肩背包,WB-UBR-024460
965,100653324,Ready to Order,"Dong Guan Shi Cheng Lin Toys Co.,Ltd.",Julie,HP ARAGOG PLUSH,哈利波特阿拉戈可蜘蛛毛绒玩具,WB-UBR-024265
966,100653332,PO Created,"Dong Guan Shi Cheng Lin Toys Co.,Ltd.",Julie,PYGMY PUFF KEYCHAIN PINK,哈利波特粉色蒲绒绒钥匙链,WB-UBR-024266
967,100653341,PO Created,"Dong Guan Shi Cheng Lin Toys Co.,Ltd.",Julie,PYGMY PUFF KC PURPLE,哈利波特紫色蒲绒绒钥匙链,WB-UBR-024267
968,100653359,Ready to Order,"Dong Guan Shi Cheng Lin Toys Co.,Ltd.",Julie,HP FANG MD PLUSH,哈利波特牙牙毛绒玩具,WB-UBR-024268
970,100653367,Ready to Order,"Dong Guan Shi Cheng Lin Toys Co.,Ltd.",Julie,HP 9 3/4 RECTANGLE PILLOW,哈利波特9 ¾ 车站长方形抱枕,WB-UBR-024269
971,100653375,Ready to Order,"Dong Guan Shi Cheng Lin Toys Co.,Ltd.",Julie,HP TREVOR PLUSH,哈利波特莱福毛绒玩具,WB-UBR-024465
972,100653383,Ready to Order,"Dong Guan Shi Cheng Lin Toys Co.,Ltd.",Julie,HP ERROL OWL PLUSH,哈利波特埃罗尔猫头鹰毛绒玩具,WB-UBR-024466
973,100653391,PO Created,"Dong Guan Shi Cheng Lin Toys Co.,Ltd.",Julie,HEDWIG PIGWIDGEON BEANIE BOX SET,哈利波特海德薇朱薇琼玩具套装,WB-UBR-024630
974,100653404,Ready to Order,"Dong Guan Shi Cheng Lin Toys Co.,Ltd.",Julie,HP FLUFFY PUPPET PLUSH,哈利波特路威毛绒玩具,WB-UBR-024270
3004,100653210,PO Created,"Dong Guan Shi Cheng Lin Toys Co.,Ltd.",Julie,HP PYGMY PUFF W/SOUND PINK,哈利波特蒲绒绒粉色毛绒玩具,WB-UBR-024470
3005,100653228,PO Created,"Dong Guan Shi Cheng Lin Toys Co.,Ltd.",Julie,HP PYGMY PUFF W/ SOUND PURPLE,哈利波特蒲绒绒紫色毛绒玩具,WB-UBR-024271
