Item,Item Type,Item Description,Primary Vendor,Product Line,Default Warehouse,Standard Cost,Last Total Unit Cost,Last Allocated Cost,Standard Unit Price,Qty On Hand,On PO,On BO,On SO,YTD QTY SOLD:,YTD $SOLD,PY QTY SOLD,PY $SOLD,Commission Rate,Last Receipt Date,INN_QTY,MASTER,UPC,Family,Brand,Category,Licensee
559BK,1,TONGZO (BULK),GIAN003,200,0,0.195,0.1962,0.0012,0,16850,0,0,0,,,,,,20120220,"50/POLY, 500/INNER","2,000",,,,,
896G,1,"HYPER FLEX FLYER BULK, GREEN",EVER001,200,0,0.55,0.5648,0.0148,0,3100,0,0,0,,,530,136.25,,20140512,100 (25/POLY),200,NO IMPRINT,HYPERFLEX,PV,CUSTOM,
641,1,TONGZO NINJA VS ZOMBIE 2PK 24,GIAN003,97,0,0.55,0.5831,0.0331,0.05,3072,0,0,0,,,480,24,7.5,20120220,24,144,10984006417,TONGZO,PV,FIDGET,SIMEON3
899P,1,"MINI HYPER FLEX FLYER BULK, PI",EVER001,200,0,0.184,0.2,0,0,2700,0,0,0,,,,,,20110516,100,200,10984008992,HYPERFLEX,PV,CUSTOM,
896B,1,"HYPER FLEX FLYER BULK, BLUE",EVER001,200,0,0.55,0.5975,0.0475,0,2500,0,0,0,,,230,61.25,,20150806,100,200,NO IMPRINT,HYPERFLEX,PV,CUSTOM,
A1-2065,1,CRAYOLA DOUGH 2-PK 1 OZ. TUBS,A1TO003,97,0,0.39,0.4499,0.0599,1,2340,0,0,0,,,36,21.24,,20190513,,36,628165720658,CRAYOLA,PV,CUSTOM,
640,1,TONGZO NINJA VS ZOMBIE 4PK 24,GIAN003,97,0,0.96,1.0177,0.0577,0.05,1800,0,0,0,,,2160,112.8,7.5,20120220,24,144,10984006400,TONGZO,PV,FIDGET,SIMEON3
803,1,"TWISTIES 9"" 60",CYMO003,97,0,0.477,0.4838,0.0068,0.1,1800,0,0,0,,,1140,123,15,20150623,240 (4 Bins / Inner),720,10984008039,NOVELTIES,PV,TREND,
66552,1,HILLARY TALKING PEN 12,JAST001,97,0,3.95,6.4783,2.5283,0.5,1608,0,0,0,,,144,108,10,20161025,12 / DISPLAY BOX,24,612512665525,NOVELTIES,PV,GAGS GIFTS,.50/PEN
896P,1,"HYPER FLEX FLYER BULK, PINK",EVER001,200,0,0.55,0.3316,0.0116,0,1550,0,0,0,,,5,5,,20070817,100,200,NO IMPRINT,HYPERFLEX,PV,CUSTOM,
9225,1,CHAMELON SKINZ CHARCO/PEARL 12,CHAM001,97,0,1.58,1.58,0,0.5,1480,0,0,0,,,192,108,10,20200924,,12,748252199225,CRAFTS,CHAMELEON,ARTS CRAFT,JOE5
891P,1,"STRETCHY STRING BULK, PINK",EVER001,200,0,0.47,0.4804,0.0104,0.89,1250,0,0,0,,,500,250,,20200603,25 p/bag,250,,HYPERFLEX,PV,CUSTOM,
891PU,1,"STRETCHY STRING BULK, PURPLE",EVER001,98,0,0.47,0.4804,0.0104,0.89,1200,0,0,0,,,,,,20200603,25 PC/POLYBAG,250,,HYPERFLEX,PV,CUSTOM,
SS5038G,1,SPLAT SLAMMER BALL GREEN,POSE003,200,0,0.72,0.7701,0.0501,0,1176,0,0,0,,,,,,20130820,"12 / POLY, 24 / INNER",96,,,,,
7516,1,CAMO FUN BALLS 8,CARE003,96,0,3.55,3.7657,0.2157,4,1112,0,0,0,,,,,10,20160211,0,8,10984075161,SNOWTIME,SNOWTIME,INDOORPLAY,KM11
2495B,1,LIGHT UP DNA BALLS - BULK,JS V003,200,0,1.16,1.2161,0.0561,0,1020,0,0,0,,,1808,904,,20151202,12 / polybag,72,,ODDBALLZ,,,ACORN2
SS6038G,1,SPLAT SLAMMER CREATURE GREEN,POSE003,200,0,0.85,0.9091,0.0591,0,1008,0,0,0,,,185,27,,20130820,"12 / POLY, 24 / INNER",96,,,,,
A1-2113,1,CRAYOLA SILLY GOO SLYME 6-PK,A1TO003,97,0,2.635,2.9283,0.2933,5,978,0,0,0,,,36,154.8,,20190425,,12,628165721136,CRAYOLA,PV,CUSTOM,
7524,1,SNOPAK 6,BART001,96,0,0,4.5065,0,7.5,786,0,0,0,,,,,10,20170224,,6,10984075246,SNOWTIME,PV,INDOORPLAY,KM2.9?
891B,1,"STRETCHY STRING BULK, BLUE",EVER001,200,0,0.47,0.4804,0.0104,0.89,750,0,0,0,,,1000,375,,20200603,25 p/bag,250,,HYPERFLEX,PV,CUSTOM,
891G,1,"STRETCHY STRING BULK, GREEN",EVER001,200,0,0.47,0.4804,0.0104,0.89,750,0,0,0,,,1000,375,,20200603,25 p/bag,250,,HYPERFLEX,PV,CUSTOM,
899B,1,"MINI HYPER FLEX FLYER BULK, BL",EVER001,200,0,0.184,0.2084,0.0084,0,675,0,0,0,,,,,,20110805,,200,10984008992,HYPERFLEX,PV,CUSTOM,
899O,1,"MINI HYPER FLEX FLYER BULK, OR",EVER001,200,0,0.184,0.2,0,0,650,0,0,0,,,,,,20110516,,200,10984008992,HYPERFLEX,PV,CUSTOM,
SS5038B,1,SPLAT SLAMMER BALL BLUE,POSE003,200,0,0.72,0.7701,0.0501,0,528,0,0,0,,,,,,20130820,"12 / POLY, 24 / INNER",96,,,,,
896O,1,"HYPER FLEX FLYER BULK, ORANGE",EVER001,200,0,0.55,0.5222,0.0162,0,500,0,0,0,,,230,61.25,,20131009,100,200,NO IMPRINT,HYPERFLEX,PV,CUSTOM,
