Item Number,Name,Item Description,Price Each,Sell unit,SELL PACK,Packaging,UPC,Status,imageURL1,imageURL2,Video,Pricing,Catalog Name
641,TONGZO NINJA VS ZOMBIE (2 pack),"Made of spring steel and covered in silicone, when you ""invert"" each ""chip"" they will lock into position; when dropped onto any solid surface, they will immediately ""release"" and pop into the air. 49mm in size", $	0.05 ,24, $	1.20 ,Blister Card,010984006417,CLOSEOUT,https://www.playvisions.com/DSN/wwwplayvisionscom/Commerce/ProductImages/mn1_000248.jpg,,,$0.05 / $1.20 Pack (24 pc.),2021 Opportunity Buys 
640,TONGZO NINJA VS ZOMBIE (4 pack),"Made of spring steel and covered in silicone, when you ""invert"" each ""chip"" they will lock into position; when dropped onto any solid surface, they will immediately ""release"" and pop into the air. 49mm in size", $	0.05 ,24, $	1.20 ,Blister Card,010984006400,CLOSEOUT,https://www.playvisions.com/DSN/wwwplayvisionscom/Commerce/ProductImages/mn1_000247.jpg,https://www.playvisions.com//DSN/wwwplayvisionscom/Commerce/ProductImages/prd2_mn_000247.jpg,,$0.05 / $1.20 Pack (24 pc.),
A1-2065,CRAYOLA DOUGH 2-PK 1 OZ. TUBS,Get creative with red and yellow dough., $	1.00 ,36, $	36.00 ,Pegged Cardboard Sleeve,628165720658,CLOSEOUT,https://www.playvisions.com/DSN/wwwplayvisionscom/Commerce/ProductImages/mn1_001141.jpg,https://www.playvisions.com//DSN/wwwplayvisionscom/Commerce/ProductImages/prd2_mn_001141.jpg,,$1.00 / $36.00 Pack (36 pc.),
A1-2113,CRAYOLA SILLY GOO SLYME,"Slimetastic colors of red, orange, purple, green, and pink.", $	5.00 ,12, $	60.00 ,Pegged plastic sleeve,628165721136,CLOSEOUT,https://www.playvisions.com//DSN/wwwplayvisionscom/Commerce/ProductImages/prd2_mn_001142.jpg,https://www.playvisions.com//DSN/wwwplayvisionscom/Commerce/ProductImages/prd1_mn_001142.jpg,,$5.00 / $60.00 Pack (12 pc.),
A1-1930,CRAYOLA DOUGH SALON CARRY CASE,"Your on the go mobile hair salon playset. Each playset includes two dough colors, molds, extruders, and tools. All in a convenient take along case.", $	8.40 ,4, $	33.60 ,Clear Plastic Suitcase w/ hang tag,628165719300,CLOSEOUT,https://www.playvisions.com//DSN/wwwplayvisionscom/Commerce/ProductImages/prd1_mn_000935.jpg,https://www.playvisions.com//DSN/wwwplayvisionscom/Commerce/ProductImages/prd3_mn_000935.jpg,,$8.40 / $33.60 Pack (4 pc.),
9225,CHAMELON SKINZ CHARCO/PEARL,Color changing tape that reacts to the heat of your body., $	0.50 ,12, $	6.00 ,Bulk,748252199225,CLOSEOUT,https://www.playvisions.com//DSN/wwwplayvisionscom/Commerce/ProductImages/prd1_mn_000636.jpg,https://www.playvisions.com//DSN/wwwplayvisionscom/Commerce/ProductImages/prd2_mn_000636.jpg,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/jULYVm9ptF0"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",$0.50 / $6.00 Pack (12 pc.),
9027,CHAMELON SKINZ BLUE/WHITE,Color changing tape that reacts to the heat of your body., $	0.50 ,12, $	6.00 ,Bulk,748252199027,CLOSEOUT,https://www.playvisions.com//DSN/wwwplayvisionscom/Commerce/ProductImages/prd1_mn_000639.jpg,https://www.playvisions.com//DSN/wwwplayvisionscom/Commerce/ProductImages/prd2_mn_000639.jpg,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/jULYVm9ptF0"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",$0.50 / $6.00 Pack (12 pc.),
802,"TWISTIES 7""","Make those long locks colorful. Comes with 60 pcs of 7"" length twisties. Three asssorted colors.", $	0.10 ,60, $	6.00 ,Acetate Bin,010984008022,CLOSEOUT,https://www.playvisions.com/DSN/wwwplayvisionscom/Commerce/ProductImages/mn1_000630.jpg,https://i.imgur.com/efx4FIb.jpg,,$0.10 / $6.00 Pack (60 pc.),
803,"TWISTIES 9""","Make those long locks colorful. Comes with 60 pcs of 9"" length twisties. Three asssorted colors.", $	0.10 ,60, $	6.00 ,Acetate Bin,010984008039,CLOSEOUT,https://www.playvisions.com/DSN/wwwplayvisionscom/Commerce/ProductImages/mn1_000631.jpg,https://i.imgur.com/efx4FIb.jpg,,$0.10 / $6.00 Pack (60 pc.),
2246,GIANT COLOR MRPH STRESS BALL,Another great stress ball filled with super soft gel. Give it a good squeeze and watch the skin appear to change color., $	10.00 ,6,$60 ,Printed Box,010984022462,CLOSEOUT,https://i.imgur.com/bGGGhas.jpg,https://i.imgur.com/McSLsso.jpg,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/MZraKYKsUBw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",$10.00 / $60.00 Pack (6 pc.),
10102,SLIME ALIVE CRITTERS BOX,Comes with everything you need to make approximately 12 slimy critters. Assorted colors and styles., $	5.00 ,12, $	60.00 ,Printed Box,010984101020,CLOSEOUT,https://www.playvisions.com/DSN/wwwplayvisionscom/Commerce/ProductImages/mn1_001086.jpg,https://www.playvisions.com//DSN/wwwplayvisionscom/Commerce/ProductImages/prd2_mn_001086.jpg,,$5.00 / $60.00 Pack (12 pc.),
8840,GALAXY GLIDER,Indoor or outdoor flying fun. Can fly more than 75 ft. Durable construction makes it Impact resistant., $	1.95 ,12, $	23.40 ,Blister Card,010984088406,CLOSEOUT,https://i.imgur.com/sCGOSKT.jpg,,,$1.95 / $23.40 Pack (12 pc.),
STTGR,RAINFOREST STRETCH TO GO,"Cute carrying case packed w/ an assortment of our stretchy rainforest creatures. Includes tree frogs, geckos, crocodiles, and chameleons. Super stretchy fun on the go!", $	5.00 ,12, $	60.00 ,Carry Case,010984000224,CLOSEOUT,https://www.playvisions.com/DSN/wwwplayvisionscom/Commerce/ProductImages/mn1_001058.jpg,https://www.playvisions.com//DSN/wwwplayvisionscom/Commerce/ProductImages/prd2_mn_001058.jpg,,$5.00 / $60.00 Pack (12 pc.),
ARFO,ARACHNA FOAMIA,"Foam ball with spiders crawling all over it! Bounces super high! 3"" size. Assorted colors.", $	0.25 ,12, $	3.00 ,Net bag w/ header card,010984002143,CLOSEOUT,https://www.playvisions.com//DSN/wwwplayvisionscom/Commerce/ProductImages/prd2_mn_000797.jpg,https://www.playvisions.com//DSN/wwwplayvisionscom/Commerce/ProductImages/prd1_mn_000797.jpg,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/R1fLnGolAns"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",$0.25 / $3.00 Pack (12 pc.),
STRO,ROBOT STRETCH,These mini figurines have vivid colors and intricate details. Great for fidgeting and stretching., $	1.15 ,24, $	27.60 ,Polybag w/ header card,010984000538,CLOSEOUT,https://www.playvisions.com//DSN/wwwplayvisionscom/Commerce/ProductImages/prd1_mn_000105.jpg,https://www.playvisions.com//DSN/wwwplayvisionscom/Commerce/ProductImages/prd2_mn_000105.jpg,,$1.15 / $27.60 Pack (24 pc.),
POCR,CROC POPPERZ,A real reptilian blast! This croc-shaped foam dart shooter comes right out of the Nile River in Tanzania. Complete w/ 3 soft and safe foam darts., $	3.50 ,12, $	42.00 ,Blister card ,010984000699,CLOSEOUT,https://www.playvisions.com/DSN/wwwplayvisionscom/Commerce/ProductImages/mn1_000031.jpg,https://www.playvisions.com//DSN/wwwplayvisionscom/Commerce/ProductImages/prd2_mn_000031.jpg,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/PYgkF4AgImY"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",$3.50 / $42.00 Pack (12 pc.),
SOSA,SOFTEEZ SAFARI ASST,Five Safari figurines made of all natural rubber and hand painted. Five assorted Styles., $	1.50 ,20, $	30.00 ,Acetate bin,010984002075,CLOSEOUT,https://i.imgur.com/leBdb2y.jpg,,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/yYrHxfvj4b8"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",$1.50 / $30.00 Pack (20 pc.),
3303,EVO OCEAN BOOK,"You can learn about  aquatic life . Download the free app shown on the cover,  scan any animal, and interact with it. Learn the animals environment, what their skeletal structure looks like, the types of noises they make, and even their diet!  ", $	2.00 ,6, $	12.00 ,Bulk,9791185304991,CLOSEOUT,https://www.playvisions.com/DSN/wwwplayvisionscom/Commerce/ProductImages/mn1_000750.jpg,,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/SzOL_yrOXm4"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",$2.00 / $12.00 Pack (6 pc.),
23007,SANDS ALIVE! 5 LB. BOX,5 lb box of Sands Alive compound., $	17.50 ,2, $	35.00 ,Printed box,010984230072,CLOSEOUT,https://i.imgur.com/fRxDTAG.jpg,,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Zdt1R_ZNPtw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",$17.50 / $35.00 Pack (2 pc.),
446-110,ELITE SCOOTER (PINK),"Globber Elite solid deck premium scooter for children 3-8 y.o. This revolutionary design comes w/ wider wheels, brake, and deck, to offer a more comfortable ride. Comes w/ patented elliptic folding system for an effortless transition to trolley mode.", $	45.00 ,2, $	90.00 ,Printed Box,4897070181175,CLOSEOUT,https://i.imgur.com/MWqyRYq.jpg,https://i.imgur.com/VWFbtAB.jpg,,$45.00 / $90.00 Pack (2 pc.),
2490B,LIGHT UP MOLECULE BALLS,"Filled with small transparent spheres and a color-changing light module, you get a great squishy feel as the light transmits through the mini balls inside for a wonderfully mesmerizing experience. ", $	0.50 ,12 PCS / INNER, $	6.00 ,Bulk polybag,,CLOSEOUT,https://www.playvisions.com//DSN/wwwplayvisionscom/Commerce/ProductImages/prd1_mn_000301.jpg,https://www.playvisions.com//DSN/wwwplayvisionscom/Commerce/ProductImages/prd2_mn_000301.jpg,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/4mEzs3YxTDE"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",$0.50 / $6.00 Pack (12 pc.),
2495B,LIGHT UP DNA BALLS,Filled with our smaller spheres in a transparent color with a slow color changing function. Fantastic visual effects with a great feeling. , $	0.50 ,12 / polybag, $	6.00 ,Bulk polybag,,CLOSEOUT,https://www.playvisions.com//DSN/wwwplayvisionscom/Commerce/ProductImages/prd1_mn_000300.jpg,https://www.playvisions.com//DSN/wwwplayvisionscom/Commerce/ProductImages/prd2_mn_000300.jpg,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/gBWzv_i2bCc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",$0.50 / $6.00 Pack (12 pc.),
66552,HILLARY TALKING PEN,"Laugh at or with Hillary. Moving mouth adds to the realism, and the laugh is really hers.", $	0.50 ,12, $	6.00 ,Blister card w/ display ,612512665525,CLOSEOUT,https://www.playvisions.com/DSN/wwwplayvisionscom/Commerce/ProductImages/mn1_000710.jpg,,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/zDgMpVxxXTE"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",$0.50 / $6.00 Pack (12 pc.),
66553,DONALD TALKING PEN,Laugh w/ or at Donald! Includes 8 classic Donald sayings using his real voice! Two assorted styles., $	6.50 ,12, $	78.00 ,Blister card in Display box,819368600032,CLOSEOUT,https://i.imgur.com/Ww6EyAP.jpg,https://i.imgur.com/Vp7WDZK.jpg,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/lHCasb-WnrQ"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",$6.50 / $78.00 Pack (12 pc.),
559BK,TONGZO,"Made of spring steel and covered in silicone, when you ""invert"" each ""chip"" they will lock into position; when dropped onto any solid surface, they will immediately ""release"" and pop into the air. 49mm in size", $	0.10 ,"50/POLY, 500/INNER", $	5.00 ,Bulk polybag,,CLOSEOUT,https://i.imgur.com/jGPpTti.jpg,https://i.imgur.com/xu8Tsy0.jpg,,$0.10 / $5.00 Pack (50 pc.),
692P,"NEON I/O BALL BULK, PINK",What a visual surprise when you “flip” the Inside Out ball with your fingers.  In an instant it will morph from a smooth ball into a spiky ball and back again.   It’s a visual surprise like no other product on the market!  48 mm size, $	0.25 ,24/polybag, $	6.00 ,Bulk polybag,,CLOSEOUT,https://i.imgur.com/pHcgKbN.jpg,https://i.imgur.com/pZqknwX.jpg,,$0.25 / $6.00 Pack (24 pc.),
792B,"M. NEON I/O BALL BULK, BLUE",What a visual surprise when you “flip” the Inside Out ball with your fingers.  In an instant it will morph from a smooth ball into a spiky ball and back again.   It’s a visual surprise like no other product on the market!  48 mm size, $	0.50 ,12/polybag, $	6.00 ,Bulk polybag,,CLOSEOUT,https://i.imgur.com/9DtVEO9.jpg,https://i.imgur.com/fGMIkuH.jpg,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/hF1KiLjjpQk"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",$0.50 / $6.00 Pack (12 pc.),
